"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1769","21817681","670000","85704","-110.961484","32.365795","1","6202.75","2013","3","4","3436","2.5","Dishwasher, Garbage Disposal, Island, Pantry: Cabinet, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite Slab, Microwave: Built In, Oven: Built In","0","Carpet, Ceramic Tile","78.09"
"1770","21911951","7e+05","85704","-110.971921","32.33321","1.06","5871.57","2002","4","3","2923","2","Dishwasher, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: carrera marble, Microwave: stainless, Oven: Stainless","2","Natural Stone, Wood","78.09"
"1771","21916726","681000","85718","-110.954534","32.351066","4.01","5633","1959","4","4","3988","0","Dishwasher, Electric Range, Garbage Disposal, Lazy Susan, Pantry: Closet, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Corian, Microwave: Stainless, Oven: Stainless","1","Ceramic Tile","78.09"
"1772","21914210","695000","85750","-110.862627","32.280673","1.21","7664.85","1986","4","3","4039","3","Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Closet, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Dacor","2","Carpet, Natural Stone","78.09"
"1773","21515393","675000","85718","-110.922819","32.296885","1.08","6513.4","2002","4","3","3411","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Concrete","146"
"1774","21525919","692000","85716","-110.930499","32.229528","0.94","6323","1949","4","4","2879","2.5","Dishwasher, Garbage Disposal, Refrigerator, Oven","1","Concrete, Wood","0"
"1775","21531097","687000","85755","-110.984471","32.431398","0.87","5904.89","2004","5","4","3837","3","Dishwasher","2","Carpet, Ceramic Tile, Natural Stone, Wood","8"
"1776","21609001","675000","85745","-111.060747","32.304893","4.64","4949","1963","4","3","3410","4","Compactor, Dishwasher, Garbage Disposal, Microwave, Oven","2","Carpet, Ceramic Tile, Natural Stone","0"
"1777","21717059","685000","85718","-110.934662","32.347051","1.02","5100.65","1987","3","2","2815","2","Dishwasher, Garbage Disposal, Refrigerator, Countertops: Granite","1","Carpet, Ceramic Tile","100"
"1778","21727671","670000","85745","-111.036122","32.220676","0.74","8453.96","2008","4","4","3561","4","Dishwasher, Freezer, Garbage Disposal, Gas Range, Pantry: Walk-In, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Stainless","2","Concrete","41.08"
